id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Golden Horizon,Skyline Youth,pop,happy,0.80,120,0.83,0.81,0.20
2,Late Night Study,Quiet Keys,lofi,chill,0.44,76,0.55,0.63,0.74
3,Thunder Road,Iron Circuit,rock,intense,0.92,148,0.46,0.68,0.12
4,Window Drizzle,Soft Lanterns,lofi,chill,0.33,70,0.62,0.57,0.88
5,Power Sprint,Turbo Beat,pop,intense,0.94,134,0.75,0.87,0.06
6,Starlight Drift,Cosmic Garden,ambient,relaxed,0.30,58,0.66,0.39,0.93
7,Sunday Espresso,Blue Corner,jazz,relaxed,0.36,92,0.72,0.52,0.87
8,Neon Highway,Retro Pulse,synthwave,moody,0.74,112,0.47,0.71,0.24
9,Deep Focus Mode,Quiet Keys,lofi,focused,0.41,82,0.58,0.59,0.80
10,City Sunset,Velvet Avenue,indie pop,happy,0.78,126,0.82,0.80,0.33